,Tachometer main frequency,Class6,Class10,Tachometer mean,Tachometer entropy,Tachometer kurtosis,Tachometer rms,Tachometer peak to peak,Tachometer shape indicator,Tachometer impulse indicator,Tachometer crest indicator,Tachometer clearance indicator,Tachometer skewness,Underhang bearing accelerometer axial mean,Underhang bearing accelerometer axial entropy,Underhang bearing accelerometer axial kurtosis,Underhang bearing accelerometer axial rms,Underhang bearing accelerometer axial peak to peak,Underhang bearing accelerometer axial shape indicator,Underhang bearing accelerometer axial impulse indicator,Underhang bearing accelerometer axial crest indicator,Underhang bearing accelerometer axial clearance indicator,Underhang bearing accelerometer axial skewness,Underhang bearing accelerometer radiale mean,Underhang bearing accelerometer radiale entropy,Underhang bearing accelerometer radiale kurtosis,Underhang bearing accelerometer radiale rms,Underhang bearing accelerometer radiale peak to peak,Underhang bearing accelerometer radiale shape indicator,Underhang bearing accelerometer radiale impulse indicator,Underhang bearing accelerometer radiale crest indicator,Underhang bearing accelerometer radiale clearance indicator,Underhang bearing accelerometer radiale skewness,Underhang bearing accelerometer tangential mean,Underhang bearing accelerometer tangential entropy,Underhang bearing accelerometer tangential kurtosis,Underhang bearing accelerometer tangential rms,Underhang bearing accelerometer tangential peak to peak,Underhang bearing accelerometer tangential shape indicator,Underhang bearing accelerometer tangential impulse indicator,Underhang bearing accelerometer tangential crest indicator,Underhang bearing accelerometer tangential clearance indicator,Underhang bearing accelerometer tangential skewness,Overhang bearing accelerometer axial mean,Overhang bearing accelerometer axial entropy,Overhang bearing accelerometer axial kurtosis,Overhang bearing accelerometer axial rms,Overhang bearing accelerometer axial peak to peak,Overhang bearing accelerometer axial shape indicator,Overhang bearing accelerometer axial impulse indicator,Overhang bearing accelerometer axial crest indicator,Overhang bearing accelerometer axial clearance indicator,Overhang bearing accelerometer axial skewness,Overhang bearing accelerometer radiale mean,Overhang bearing accelerometer radiale entropy,Overhang bearing accelerometer radiale kurtosis,Overhang bearing accelerometer radiale rms,Overhang bearing accelerometer radiale peak to peak,Overhang bearing accelerometer radiale shape indicator,Overhang bearing accelerometer radiale impulse indicator,Overhang bearing accelerometer radiale crest indicator,Overhang bearing accelerometer radiale clearance indicator,Overhang bearing accelerometer radiale skewness,Overhang bearing accelerometer tangential mean,Overhang bearing accelerometer tangential entropy,Overhang bearing accelerometer tangential kurtosis,Overhang bearing accelerometer tangential rms,Overhang bearing accelerometer tangential peak to peak,Overhang bearing accelerometer tangential shape indicator,Overhang bearing accelerometer tangential impulse indicator,Overhang bearing accelerometer tangential crest indicator,Overhang bearing accelerometer tangential clearance indicator,Overhang bearing accelerometer tangential skewness,Microphone mean,Microphone entropy,Microphone kurtosis,Microphone rms,Microphone peak to peak,Microphone shape indicator,Microphone impulse indicator,Microphone crest indicator,Microphone clearance indicator,Microphone skewness,filePath
10,21.8,normal,normal,-0.002369817,2.148943624,3.466115061,1.655003603,-6.2893,1.5418974,4.695276983,3.045129321,5.726856732,2.329210883,0.016861962,3.652383558,-0.764261868,1.049365122,-5.849,1.169968619,4.429728244,3.786194069,4.996870894,-0.447041395,-0.000308935,2.578159209,-0.620839576,0.319168135,-2.40558,1.169739448,5.999911151,5.129271447,6.746319395,-0.354409963,0.000391183,1.65197307,-0.024002256,0.077063502,-0.67203,1.25122837,5.523599149,4.414541166,6.511729941,-0.102263703,0.107232811,3.102237719,-0.222799173,0.540800118,-3.9697,1.243136713,4.979211991,4.005361549,5.846203289,0.082050615,0.002918794,1.457607045,-0.964540623,0.028506153,-0.160405,1.172668021,3.310858589,2.823355399,3.752891464,-0.095051932,0.072060901,2.275192227,-0.123676689,0.225334797,-1.7215,1.252598073,5.359324623,4.278566873,6.316153004,0.148343561,0.012943759,1.953195376,0.120353054,0.141764173,-0.98116,1.23016044,5.806731296,4.72030404,6.709053146,0.687974037,D:/full//normal\22.3232.csv
11,23,normal,normal,-0.00354206,2.1546197,3.39236478,1.661414171,-6.3231,1.534637269,4.636848391,3.02146213,5.643746921,2.313302481,0.014865642,3.58935907,-0.739390259,0.977703855,-5.4249,1.171760242,4.323163423,3.689460751,4.882423967,-0.446358024,-0.000493721,2.607163978,-0.500686751,0.328992848,-2.52146,1.175197155,6.183671792,5.261816509,6.966217092,-0.382380093,0.000313517,1.664209834,-0.026245464,0.079574819,-0.78361,1.251540638,6.354207738,5.077108602,7.49511987,-0.010628077,-0.002949561,3.457808389,-0.313136694,0.766095399,-4.7758,1.239827975,4.028777312,3.249464758,4.737557485,0.073402677,0.002681917,1.45902676,-0.89769827,0.029017181,-0.159263,1.178366631,3.451544598,2.929092277,3.922213241,-0.101354887,-0.007970874,2.545351705,-0.187627368,0.292103058,-2.1733,1.241803082,4.674249211,3.76408247,5.488020999,0.01633339,0.013617647,1.940361089,0.039814524,0.138783746,-0.96869,1.226179606,5.867709177,4.785358643,6.766666245,0.652527785,D:/full//normal\23.552.csv
12,24,normal,normal,-0.002431499,2.161468845,3.297895781,1.669914033,-6.3223,1.528138447,4.594717447,3.006741604,5.583995539,2.292794691,0.000698477,3.559457176,-0.751295469,0.949335056,-5.9161,1.172573727,4.968895669,4.237597648,5.614310084,-0.437827432,-0.000289709,2.632073886,-0.448560292,0.336603688,-2.59599,1.179784722,6.116867911,5.184732262,6.907065074,-0.38070462,0.000325171,1.678736287,0.089473625,0.082547125,-1.00781,1.255127347,8.384025771,6.679820807,9.901957755,0.002667361,-0.029753177,3.271141186,-0.257172952,0.632184473,-4.5506,1.233699352,4.810413784,3.899178335,5.621318647,-0.082724691,0.002793166,1.457837229,-0.958842834,0.028580707,-0.152037,1.17467606,3.190165343,2.715783059,3.624242539,-0.083305053,-0.014068166,2.409470114,-0.025296044,0.250525674,-1.95425,1.252754248,4.907943146,3.917722214,5.795560209,0.060363229,0.012993787,1.964928145,-0.018339073,0.144057047,-0.97638,1.221755702,5.652962213,4.62691699,6.506723669,0.632214694,D:/full//normal\24.576.csv
13,25,normal,normal,-1.54E-05,2.16349051,3.203515919,1.678394878,-6.3459,1.522770602,4.552176199,2.989403784,5.525699636,2.272313346,-0.000723632,3.511140286,-0.782915051,0.899219565,-5.0319,1.170837761,4.283256333,3.658283391,4.834527075,-0.415710357,-0.000519835,2.657310215,-0.358114282,0.343739439,-2.69186,1.187345511,6.406508727,5.395656672,7.262806307,-0.384133028,0.000355258,1.682715027,0.093030089,0.083358465,-0.93531,1.256073792,7.172530367,5.710277864,8.471398931,-0.05052785,0.015105203,3.33202944,-0.36654364,0.673902877,-4.5009,1.232884916,4.546232284,3.687474984,5.322113278,-0.096528817,0.002837188,1.457685789,-0.989348573,0.028527762,-0.147673,1.171525538,3.088421407,2.636239081,3.502243855,-0.093087361,-0.000788673,2.560817196,-0.34199976,0.297685644,-2.2957,1.231993974,4.919108692,3.992802558,5.757400137,0.001099311,0.012712386,1.957404495,-0.04284916,0.142212363,-0.96865,1.218997762,5.607416526,4.600022002,6.444536697,0.611138176,D:/full//normal\25.6.csv
14,26,normal,normal,0.00189893,2.165493259,3.120232484,1.685987301,-6.3191,1.517747266,4.517177563,2.976238313,5.476942796,2.254095794,0.007335279,3.529245965,-0.728981482,0.907548513,-5.2363,1.173764209,4.431870866,3.775776115,5.009089137,-0.432650945,-0.000405993,2.685378033,-0.264920613,0.350898957,-2.79233,1.197636905,6.402205715,5.345698421,7.295122534,-0.373094282,0.000439877,1.703073432,0.0631726,0.087478067,-0.87671,1.257393458,6.607211033,5.25468857,7.813541217,0.001189215,0.021139053,3.219422577,0.063326462,0.600262124,-4.3995,1.259477769,4.814769279,3.822829904,5.702918766,-0.066641085,0.002993268,1.457702076,-0.988029046,0.028549864,-0.158313,1.171477788,3.472186404,2.963937038,3.936628322,-0.089813985,-0.006454803,2.567642143,-0.056291945,0.299559227,-2.3723,1.253570506,5.456033654,4.352394722,6.450444537,-0.017364324,0.012817756,1.978191546,-0.023922001,0.146882892,-1.00287,1.220862036,5.710709134,4.677603994,6.571374019,0.618854345,D:/full//normal\26.624.csv
15,26.8,normal,normal,-0.002040518,2.160425032,3.139341676,1.68380364,-6.3446,1.515219725,4.483917641,2.959252423,5.429323099,2.258442088,0.016897033,3.590504293,-0.63888365,0.956033329,-5.9965,1.178585183,4.922763892,4.17684183,5.574296208,-0.46017319,-0.000446298,2.651018526,0.089304768,0.333250097,-2.9365,1.228619768,6.943312629,5.651311181,8.04960366,-0.39702739,0.000316582,1.740233583,0.142728627,0.094952519,-0.90342,1.261447335,6.154557145,4.878964802,7.290746247,0.055691483,0.178650685,3.260858765,-0.243619801,0.655246512,-4.0899,1.240970041,4.437971116,3.576211328,5.190440722,0.226654132,0.006799577,1.681128228,-0.020805577,0.083344669,-0.65463,1.247424612,5.587951656,4.479590672,6.580101517,-0.175834855,0.034564252,2.055635253,0.227224263,0.164181639,-1.77117,1.263499797,7.419543356,5.872215707,8.790514068,0.077089286,0.013475293,1.924528986,-0.14885052,0.134806695,-0.90724,1.21194736,5.583221751,4.60681869,6.393305638,0.551932148,D:/full//normal\27.4432.csv
16,28.2,normal,normal,-0.000823368,2.162775025,3.068834449,1.690904548,-6.3239,1.510413407,4.466288202,2.956997192,5.401296081,2.242852316,0.011255586,3.614774234,-0.64134958,0.976106964,-6.0994,1.180094465,4.826250894,4.089715726,5.469087144,-0.454862377,-0.000613637,2.747598209,-0.113710794,0.369579333,-3.6881,1.218806614,6.49538893,5.329302332,7.495686853,-0.313771104,0.000245095,1.802931104,0.134047499,0.10750834,-1.07918,1.259603749,6.810471326,5.406836342,8.060734213,0.061584494,-0.001564696,3.278262235,-0.388004601,0.638788683,-4.1405,1.221689663,4.377735097,3.583344633,5.087251313,-0.104885049,0.003696291,1.458806024,-0.930942106,0.02904624,-0.156484,1.176379517,3.335194277,2.835134604,3.791095402,-0.095497798,0.00518672,2.714221112,-0.240723811,0.35223726,-2.8415,1.236215062,5.348995102,4.326913064,6.260909994,0.116078683,0.013925892,2.017096123,-0.092222219,0.155623329,-1.06746,1.217336465,5.625738887,4.621350836,6.463650899,0.588355877,D:/full//normal\28.8768.csv
17,28.8,normal,normal,-0.001215379,2.162106289,3.034768993,1.6938487,-6.3869,1.507109687,4.42021192,2.932906582,5.340137373,2.235344918,-0.001374729,3.603655286,-0.643472311,0.967020511,-5.906,1.180074259,4.653689489,3.943556479,5.270939885,-0.454260142,-0.000791583,2.741491025,-0.193487938,0.366520729,-3.3508,1.217265017,6.36229935,5.226716664,7.34175314,-0.274960519,0.000260188,1.822346165,0.1210139,0.111420338,-1.1034,1.258593063,6.447813033,5.123032395,7.625706367,0.092842061,0.044000194,3.387770245,-0.45159999,0.7180435,-5.393,1.215902039,4.817423608,3.962016226,5.583551419,-0.11843972,0.002950841,1.457955972,-0.960590847,0.028641434,-0.145748,1.173819955,2.990918881,2.548021839,3.394715035,-0.095742781,0.090457365,3.157561112,-0.904560129,0.589954727,-3.6038,1.175436547,3.629787513,3.088033567,4.110493994,-0.058105768,0.012599301,2.050427909,-0.085697683,0.163255208,-1.09117,1.216693875,5.466936114,4.493271666,6.281049713,0.592624983,D:/full//normal\29.4912.csv
18,30,normal,normal,0.001314161,2.167035129,2.933843827,1.703664358,-6.3669,1.501040923,4.415198476,2.941424452,5.326617223,2.212738498,0.005564422,3.540480013,-0.606396201,0.901424704,-5.5124,1.1819626,4.663602363,3.945642917,5.287978031,-0.459749649,-0.000354609,2.716175075,-0.333408879,0.358313984,-3.2066,1.205806288,6.37709667,5.288657668,7.315615297,-0.279372443,0.000273842,1.809120996,0.07627581,0.108770347,-1.39875,1.255879404,9.20702033,7.331134102,10.87611974,0.115173581,0.02965334,3.217686066,-0.304748383,0.599845455,-4.3595,1.225691119,4.735043012,3.86316172,5.503521518,-0.122600828,0.002613536,1.457713799,-0.973534879,0.02851703,-0.146807,1.172513103,3.099383437,2.643367847,3.515568272,-0.105677787,0.057942591,2.931556465,-0.636146222,0.452633642,-2.979,1.209349079,4.23294154,3.500181721,4.893382948,0.044165896,0.011528583,2.062961872,-0.082721115,0.166184228,-1.10523,1.217382415,5.45273528,4.479065257,6.27009633,0.599036649,D:/full//normal\30.72.csv
19,31,normal,normal,3.05E-05,2.168073695,2.964365252,1.70067018,-6.3569,1.502424952,4.403462387,2.930903392,5.313909698,2.219498933,0.015478814,3.522044442,-0.565411798,0.874288867,-5.6618,1.184995012,5.015182861,4.232239638,5.695596216,-0.453408241,-0.000536952,2.737162142,-0.226420724,0.366207471,-3.6533,1.211821752,7.004729516,5.780329909,8.054959276,-0.3048438,0.000428485,1.85299401,0.059826532,0.117609634,-1.08811,1.254227686,6.292806508,5.017276031,7.423385255,0.098514347,0.005834087,3.165237317,-0.218719208,0.565521523,-3.9205,1.241933629,4.375261187,3.522942839,5.144276168,-0.011316267,0.002608427,1.457587761,-0.983909578,0.028468749,-0.144843,1.170973057,3.000529191,2.562423766,3.397979748,-0.099287346,-0.008998458,2.668639583,0.02491271,0.335572885,-2.9633,1.249933202,5.635210794,4.508409557,6.631148686,0.20473594,0.013241358,2.054642737,-0.136768274,0.164171131,-1.09031,1.215163294,5.345068075,4.398641812,6.13854072,0.572050822,D:/full//normal\31.744.csv
20,32,normal,normal,-0.001796691,2.169677943,2.887475398,1.707988932,-6.4491,1.494099622,4.398874734,2.944164277,5.294504822,2.202282782,0.009746042,3.541264866,-0.518139772,0.889776013,-5.8024,1.188724207,5.125626255,4.31187169,5.830600995,-0.468608822,-0.000524757,2.73520049,-0.290036151,0.365109004,-3.3218,1.210015529,6.201383792,5.125044799,7.129571056,-0.278359011,0.000358113,1.89548537,-0.014233226,0.126264925,-1.30531,1.251631522,6.781207095,5.417894144,7.998230429,0.072024672,0.026814177,2.996389102,-0.065474963,0.475162256,-3.5386,1.252059112,4.697702636,3.75198151,5.540731734,0.065415051,0.002857272,1.456931097,-1.029793987,0.028242687,-0.150465,1.167850442,3.128457975,2.678817306,3.540855401,-0.092460219,0.041629277,2.485077497,0.008219219,0.275952581,-2.4491,1.256189405,6.211922549,4.945052494,7.343299843,0.086716541,0.013136171,2.089183362,-0.16153632,0.172400002,-1.1397,1.214261595,5.330284335,4.389733115,6.12037544,0.569761944,D:/full//normal\32.9728.csv
